Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
80 	 	 99 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
78 	 	 105 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
76 	 	 83 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
70 	 	 96 	 	 GoWhereFoodIs, GoStraight, 
70 	 	 99 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
65 	 	 68 	 	 GoWhereFoodIs, GoStraight, 
65 	 	 68 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
65 	 	 84 	 	 GoWhereFoodIs, GoStraight, 
65 	 	 132 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
65 	 	 68 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
62 	 	 117 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
60 	 	 92 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
60 	 	 199 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
58 	 	 348 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
57 	 	 112 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
55 	 	 185 	 	 RunAwayFromGhost2, GoSameDirection, 
55 	 	 75 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
54 	 	 78 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
54 	 	 78 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
53 	 	 78 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
46 	 	 157 	 	 GoSameDirection, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 228 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 199 	 	 RunAwayFromGhost2, GoStraight, 
46 	 	 157 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
45 	 	 200 	 	 GoStraight, 
45 	 	 73 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
45 	 	 254 	 	 GoStraight, 
45 	 	 186 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
42 	 	 277 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
42 	 	 44 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
39 	 	 39 	 	 RunAwayFromGhost1, GoSameDirection, 
38 	 	 71 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
36 	 	 289 	 	 RunAwayFromGhost2, 
34 	 	 44 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
28 	 	 128 	 	 RunAwayFromGhost1, GoStraight, 
25 	 	 26 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
23 	 	 23 	 	 RunAwayFromGhost2, GoSameDirection, 
20 	 	 106 	 	 RunAwayFromGhost1, 
20 	 	 23 	 	 RunAwayFromGhost1, GoSameDirection, 
18 	 	 18 	 	 GoSameDirection, 
16 	 	 116 	 	 GoWhereFoodIs, 
14 	 	 14 	 	 GoWhereFoodIs, GoSameDirection, 
14 	 	 17 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
14 	 	 17 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
14 	 	 17 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
Log ended. 

Log data created at: Monday, March 13, 2017 17:00:34
Score: 	 Turn: 	 	 Genes: 
227 	 	 414 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
227 	 	 577 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
227 	 	 630 	 	 GoWhereFoodIs, GoSameDirection, 
227 	 	 805 	 	 GoSameDirection, 
226 	 	 537 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
223 	 	 837 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
222 	 	 532 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
