New session initialized at: Sunday, March 12, 2017 20:48:13
Generation: 	 Turn: 	 Idle: 	 Score: 	 Exit Status: 
	   22 		  138 	    0 	   84 			 Eaten
	   23 		  125 	    9 	   78 			 Eaten
	   24 		  398 	  100 	  135 			 Lost
	   25 		  289 	  100 	   68 			 Lost
	   26 		   81 	    1 	   67 			 Eaten
	   27 		  140 	  100 	   40 			 Lost
	   28 		   99 	    0 	   79 			 Eaten
	   29 		  201 	   40 	   27 			 Eaten
	   30 		  321 	  100 	  125 			 Lost
	   31 		  117 	    3 	  105 			 Eaten
	   32 		   68 	   10 	   56 			 Eaten
	   33 		  157 	  100 	   46 			 Lost
	   34 		   98 	   25 	   50 			 Eaten
	   35 		  477 	  100 	  162 			 Lost
	   36 		  479 	  100 	  166 			 Lost
	   37 		  196 	  100 	   46 			 Lost
	   38 		   66 	    5 	   49 			 Eaten
	   39 		  529 	  100 	  187 			 Lost
	   40 		  123 	   19 	   92 			 Eaten
	   41 		  140 	  100 	   40 			 Lost
	   42 		  581 	  100 	  220 			 Lost
	   43 		  270 	  100 	   47 			 Lost
	   44 		  288 	  100 	   35 			 Lost
	   45 		  126 	    3 	  117 			 Eaten
	   46 		  178 	  100 	   31 			 Lost
	   47 		  150 	    6 	  102 			 Eaten
	   48 		   89 	    9 	   70 			 Eaten
	   49 		  157 	  100 	   46 			 Lost
	   50 		  140 	  100 	   40 			 Lost
	   51 		  157 	  100 	   46 			 Lost
	   52 		  386 	  100 	  167 			 Lost
	   53 		  356 	  100 	   60 			 Lost
	   54 		  821 	  100 	  214 			 Lost
	   55 		  141 	    3 	  117 			 Eaten
	   56 		  124 	    6 	  100 			 Eaten
	   57 		  577 	  100 	  227 			 Lost
	   58 		  766 	  100 	  198 			 Lost
	   59 		   27 	    1 	   26 			 Eaten
	   60 		  184 	  100 	   59 			 Lost
	   61 		  686 	  100 	  219 			 Lost
	   62 		  157 	  100 	   46 			 Lost
	   63 		  107 	   16 	   41 			 Eaten
	   64 		  157 	  100 	   46 			 Lost
	   65 		  259 	  100 	   57 			 Lost
	   66 		   50 	    0 	   34 			 Eaten
	   67 		  101 	  100 	    1 			 Lost
	   68 		  120 	    0 	   96 			 Eaten
	   69 		  157 	  100 	   46 			 Lost
	   70 		  170 	    8 	  136 			 Eaten
	   71 		  161 	   27 	   38 			 Eaten
	   72 		   82 	    4 	   54 			 Eaten
	   73 		  216 	  100 	   45 			 Lost
	   74 		  532 	  100 	  222 			 Lost
	   75 		   78 	    4 	   54 			 Eaten
	   76 		   47 	    3 	   39 			 Eaten
	   77 		  114 	    9 	   74 			 Eaten
	   78 		  157 	  100 	   46 			 Lost
	   79 		  101 	  100 	    1 			 Lost
	   80 		  173 	  100 	   55 			 Lost
	   81 		   31 	    1 	   28 			 Eaten
	   82 		   99 	    0 	   82 			 Eaten
	   83 		   37 	    3 	   25 			 Eaten
	   84 		   86 	   13 	   50 			 Eaten
	   85 		  101 	  100 	    1 			 Lost
	   86 		  140 	  100 	   40 			 Lost
	   87 		   82 	    3 	   77 			 Eaten
	   88 		  212 	  100 	   46 			 Lost
